,id,date,price,bedrooms,bathrooms,sqft_living,floors,condition,sqft_above,sqft_basement,lat,sqft_living15,grade_int
0,7129300520,2014-10-13,221900.0,3,1.0,1180,1.0,Average,1180,0.0,47.5112,1340,7
1,6414100192,2014-12-09,538000.0,3,2.25,2570,2.0,Average,2170,400.0,47.721,1690,7
2,5631500400,2015-02-25,180000.0,2,1.0,770,1.0,Average,770,0.0,47.7379,2720,6
3,2487200875,2014-12-09,604000.0,4,3.0,1960,1.0,Very Good,1050,910.0,47.5208,1360,7
4,1954400510,2015-02-18,510000.0,3,2.0,1680,1.0,Average,1680,0.0,47.6168,1800,8
5,7237550310,2014-05-12,1230000.0,4,4.5,5420,1.0,Average,3890,1530.0,47.6561,4760,11
6,1321400060,2014-06-27,257500.0,3,2.25,1715,2.0,Average,1715,?,47.3097,2238,7
7,2008000270,2015-01-15,291850.0,3,1.5,1060,1.0,Average,1060,0.0,47.4095,1650,7
8,2414600126,2015-04-15,229500.0,3,1.0,1780,1.0,Average,1050,730.0,47.5123,1780,7
9,3793500160,2015-03-12,323000.0,3,2.5,1890,2.0,Average,1890,0.0,47.3684,2390,7
10,1736800520,2015-04-03,662500.0,3,2.5,3560,1.0,Average,1860,1700.0,47.6007,2210,8
11,9212900260,2014-05-27,468000.0,2,1.0,1160,1.0,Good,860,300.0,47.69,1330,7
12,114101516,2014-05-28,310000.0,3,1.0,1430,1.5,Good,1430,0.0,47.7558,1780,7
13,6054650070,2014-10-07,400000.0,3,1.75,1370,1.0,Good,1370,0.0,47.6127,1370,7
14,1175000570,2015-03-12,530000.0,5,2.0,1810,1.5,Average,1810,0.0,47.67,1360,7
15,9297300055,2015-01-24,650000.0,4,3.0,2950,2.0,Average,1980,970.0,47.5714,2140,9
16,1875500060,2014-07-31,395000.0,3,2.0,1890,2.0,Average,1890,0.0,47.7277,1890,7
17,6865200140,2014-05-29,485000.0,4,1.0,1600,1.5,Good,1600,0.0,47.6648,1610,7
18,16000397,2014-12-05,189000.0,2,1.0,1200,1.0,Good,1200,?,47.3089,1060,7
19,7983200060,2015-04-24,230000.0,3,1.0,1250,1.0,Good,1250,0.0,47.3343,1280,7
20,6300500875,2014-05-14,385000.0,4,1.75,1620,1.0,Good,860,760.0,47.7025,1400,7
21,2524049179,2014-08-26,2000000.0,3,2.75,3050,1.0,Average,2330,720.0,47.5316,4110,9
22,7137970340,2014-07-03,285000.0,5,2.5,2270,2.0,Average,2270,0.0,47.3266,2240,8
23,8091400200,2014-05-16,252700.0,2,1.5,1070,1.0,Average,1070,0.0,47.3533,1220,7
24,3814700200,2014-11-20,329000.0,3,2.25,2450,2.0,Good,2450,0.0,47.3739,2200,8
25,1202000200,2014-11-03,233000.0,3,2.0,1710,1.5,Very Good,1710,0.0,47.3048,1030,6
26,1794500383,2014-06-26,937000.0,3,1.75,2450,2.0,Average,1750,700.0,47.6386,1760,8
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1.5,Very Good,1400,0.0,47.6221,1860,8
28,5101402488,2014-06-24,438000.0,3,1.75,1520,1.0,Average,790,730.0,47.695,1520,7
29,1873100390,2015-03-02,719000.0,4,2.5,2570,2.0,Average,2570,0.0,47.7073,2630,8
30,8562750320,2014-11-10,580500.0,3,2.5,2320,2.0,Average,2320,0.0,47.5391,2580,8
31,2426039314,2014-12-01,280000.0,2,1.5,1190,3.0,Average,1190,0.0,47.7274,1390,7
32,461000390,2014-06-24,687500.0,4,1.75,2330,1.5,Good,1510,820.0,47.6823,1460,7
33,7589200193,2014-11-10,535000.0,3,1.0,1090,1.5,Good,1090,0.0,47.6889,1570,8
34,7955080270,2014-12-03,322500.0,4,2.75,2060,1.0,Average,1280,780.0,47.4276,2020,7
35,9547205180,2014-06-13,696000.0,3,2.5,2300,1.5,Average,1510,790.0,47.6827,1590,8
36,9435300030,2014-05-28,550000.0,4,1.0,1660,1.0,Poor,930,730.0,47.6621,2160,5
37,2768000400,2014-12-30,640000.0,4,2.0,2360,2.0,Good,2360,0.0,47.6702,1730,8
38,7895500070,2015-02-13,240000.0,4,1.0,1220,1.0,Fair,890,330.0,47.3341,1290,7
39,2078500320,2014-06-20,605000.0,4,2.5,2620,2.0,Average,2620,0.0,47.5301,2620,8
40,5547700270,2014-07-15,625000.0,4,2.5,2570,2.0,Average,2570,0.0,47.6145,2470,9
41,7766200013,2014-08-11,775000.0,4,2.25,4220,1.0,Average,2600,1620.0,47.445,2410,8
42,7203220400,2014-07-07,861990.0,5,2.75,3595,2.0,Average,3595,?,47.6848,3625,9
43,9270200160,2014-10-28,685000.0,3,1.0,1570,2.0,Average,1570,0.0,47.6413,1580,7
44,1432701230,2014-07-29,309000.0,3,1.0,1280,1.0,Good,920,360.0,47.4485,1340,6
45,8035350320,2014-07-18,488000.0,3,2.5,3160,2.0,Average,3160,0.0,47.7443,3050,8
46,8945200830,2015-03-25,210490.0,3,1.0,990,1.0,Average,990,0.0,47.3066,1228,6
47,4178300310,2014-07-16,785000.0,4,2.5,2290,2.0,Good,2290,0.0,47.6194,2680,9
48,9215400105,2015-04-28,450000.0,3,1.75,1250,1.0,Good,1250,0.0,47.6796,970,7
49,822039084,2015-03-11,1350000.0,3,2.5,2753,1.0,Very Good,2165,588.0,47.4041,2680,9
50,5245600105,2014-09-16,228000.0,3,1.0,1190,1.0,Average,1190,0.0,47.4258,1190,7
51,7231300125,2015-02-17,345000.0,5,2.5,3150,1.0,Good,1640,1510.0,47.4934,1990,8
52,7518505990,2014-12-31,600000.0,3,1.75,1410,1.0,Good,1000,410.0,47.6808,1410,7
53,3626039271,2015-02-05,585000.0,2,1.75,1980,1.0,Average,990,990.0,47.6989,1480,7
54,4217401195,2015-03-03,920000.0,5,2.25,2730,1.5,Average,2130,600.0,47.6571,2730,8
55,9822700295,2014-05-12,885000.0,4,2.5,2830,2.0,Average,2830,0.0,47.6597,1950,9
56,9478500640,2014-08-19,292500.0,4,2.5,2250,2.0,Average,2250,0.0,47.3663,2250,7
57,2799800710,2015-04-07,301000.0,3,2.5,2420,2.0,Average,2420,0.0,47.3663,2690,8
58,7922800400,2014-08-27,951000.0,5,3.25,3250,2.0,Good,3250,0.0,47.588,2960,8
59,8079040320,2015-02-23,430000.0,4,3.0,1850,2.0,Average,1850,0.0,47.5059,2270,8
60,1516000055,2014-12-10,650000.0,3,2.25,2150,1.0,Good,1590,560.0,47.4336,2570,8
61,9558200045,2014-08-28,289000.0,3,1.75,1260,1.0,Average,1260,0.0,47.4366,1290,7
62,5072410070,2014-10-21,505000.0,3,1.75,2519,2.0,Very Good,2519,0.0,47.4428,2500,8
63,9528102996,2014-12-07,549000.0,3,1.75,1540,3.0,Average,1540,0.0,47.6765,1580,8
64,1189001180,2014-06-03,425000.0,3,2.25,1660,1.0,Average,1110,550.0,47.6113,1440,7
65,3253500160,2014-11-20,317625.0,3,2.75,2770,1.5,Very Good,1770,1000.0,47.5747,1440,7
66,3394100030,2014-09-09,975000.0,4,2.5,2720,2.0,Average,2720,0.0,47.5815,2750,10
67,3717000160,2014-10-09,287000.0,4,2.5,2240,2.0,Average,2240,0.0,47.3378,2221,7
68,1274500060,2014-08-25,204000.0,3,1.0,1000,1.0,Good,1000,0.0,47.3621,1010,7
69,1802000060,2014-06-12,1330000.0,5,2.25,3200,1.0,Average,1600,1600.0,47.6303,3390,8
70,1525059190,2014-09-12,1040000.0,5,3.25,4770,1.0,Good,3070,1700.0,47.6525,3530,11
71,1049000060,2015-01-05,325000.0,3,2.0,1260,1.0,Good,1260,0.0,47.7362,1640,7
72,8820901275,2014-06-10,571000.0,4,2.0,2750,1.5,Very Good,2250,500.0,47.7168,1510,7
73,5416510140,2014-07-10,360000.0,4,2.5,2380,2.0,Average,2380,0.0,47.3608,2420,8
74,3444100400,2015-03-16,349000.0,3,1.75,1790,1.0,Very Good,1090,700.0,47.3511,1940,7
75,3276920270,2014-11-05,832500.0,4,4.0,3430,2.0,Good,2390,1040.0,47.5822,3240,10
76,4036801170,2014-10-13,380000.0,4,1.75,1760,1.0,Average,880,880.0,47.6034,1680,7
77,2391600320,2015-04-20,480000.0,3,1.0,1040,1.0,Average,1040,0.0,47.5636,890,7
78,6300000287,2014-06-09,410000.0,3,1.0,1410,1.0,Good,910,500.0,47.7073,1130,7
79,1531000030,2015-03-23,720000.0,4,2.5,3450,2.0,Average,3450,?,47.342,3350,10
80,5104520400,2014-12-02,390000.0,3,2.5,2350,2.0,Average,2350,0.0,47.3512,2350,8
81,7437100340,2014-12-22,360000.0,4,2.5,1900,2.0,Average,1900,0.0,47.349,1870,7
82,9418400240,2014-10-28,355000.0,2,1.0,2020,1.0,Average,1010,1010.0,47.5474,1720,7
83,1523059105,2015-01-28,356000.0,3,1.5,1680,1.0,Average,1680,0.0,47.4811,1850,8
84,1133000671,2014-06-02,315000.0,3,1.0,960,1.0,Average,960,0.0,47.7264,1570,6
85,4232902595,2014-11-14,940000.0,3,1.5,2140,2.0,Average,1900,240.0,47.6337,2020,9
86,2599001200,2014-11-03,305000.0,5,2.25,2660,1.5,Very Good,2660,0.0,47.2909,1590,7
87,3342103156,2014-06-18,461000.0,3,3.25,2770,2.0,Average,1980,790.0,47.5228,1900,9
88,1332700270,2014-05-19,215000.0,2,2.25,1610,2.0,Good,1610,0.0,47.518,1950,7
