,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,condition_Fair,condition_Good,condition_Poor,condition_Very Good,zip_category_Urban,grade_int_11,grade_int_12,grade_int_13,grade_int_3,grade_int_4,grade_int_5,grade_int_6,grade_int_7,grade_int_8,grade_int_9
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,1180,0,1955,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,2170,0,1951,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,770,0,1933,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,1050,0,1965,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,1680,0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,7237550310,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,3890,0,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,1715,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,1060,0,1963,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,1050,0,1960,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,1890,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,1860,0,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,860,0,1942,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,1430,0,1927,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,1370,0,1977,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,1810,0,1900,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,1980,0,1979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,1890,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,1600,0,1916,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,1200,0,1921,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,1250,0,1969,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,860,0,1947,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,2524049179,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,2330,0,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,2270,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,1070,0,1985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,2450,0,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,1710,0,1941,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26,1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,1750,0,1915,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,1400,0,1909,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
28,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,790,0,1948,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,2570,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,2320,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,1190,0,2005,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,1510,0,1929,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,1090,0,1929,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,1280,0,1981,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,9547205180,2014-06-13,696000.0,3,2.5,2300,3060,1.5,1510,0,1930,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,9435300030,2014-05-28,550000.0,4,1.0,1660,34848,1.0,930,0,1933,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37,2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,2360,0,1904,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
38,7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,890,0,1969,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,2620,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,2570,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,7766200013,2014-08-11,775000.0,4,2.25,4220,24186,1.0,2600,0,1984,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,3595,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,1570,0,1922,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,920,0,1959,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,8035350320,2014-07-18,488000.0,3,2.5,3160,13603,2.0,3160,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,990,0,1966,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,4178300310,2014-07-16,785000.0,4,2.5,2290,13416,2.0,2290,0,1981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,1250,0,1953,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
49,822039084,2015-03-11,1350000.0,3,2.5,2753,65005,1.0,2165,0,1953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,1190,0,1955,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,1640,0,1966,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,7518505990,2014-12-31,600000.0,3,1.75,1410,4080,1.0,1000,0,1950,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
53,3626039271,2015-02-05,585000.0,2,1.75,1980,8550,1.0,990,0,1981,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,4217401195,2015-03-03,920000.0,5,2.25,2730,6000,1.5,2130,0,1927,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55,9822700295,2014-05-12,885000.0,4,2.5,2830,5000,2.0,2830,0,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,2250,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,2420,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,7922800400,2014-08-27,951000.0,5,3.25,3250,14342,2.0,3250,0,1968,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,1850,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1516000055,2014-12-10,650000.0,3,2.25,2150,21235,1.0,1590,0,1959,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
61,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,1260,0,1954,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,5072410070,2014-10-21,505000.0,3,1.75,2519,8690,2.0,2519,0,1973,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
63,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,1540,0,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,1110,0,1979,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,1770,0,1925,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
66,3394100030,2014-09-09,975000.0,4,2.5,2720,11049,2.0,2720,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,2240,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,1000,0,1968,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
69,1802000060,2014-06-12,1330000.0,5,2.25,3200,20158,1.0,1600,0,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,1525059190,2014-09-12,1040000.0,5,3.25,4770,50094,1.0,3070,0,1973,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,1260,0,1972,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,8820901275,2014-06-10,571000.0,4,2.0,2750,7807,1.5,2250,0,1916,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
73,5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,2380,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,3444100400,2015-03-16,349000.0,3,1.75,1790,50529,1.0,1090,0,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75,3276920270,2014-11-05,832500.0,4,4.0,3430,35102,2.0,2390,0,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,880,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
